Time (s),Weight1 (kg),Weight2 (kg),Weight3 (kg),Weight4 (kg),TotalWeight (kg),COP_X (m),COP_Y (m),Angle (deg),Distance (m)
0.0,-0.32549996787478963,0.4222787093633342,2.5809807692307603,2.7299997305627515,5.407759241282056,-122.38916936042318,40.83020153073568,161.5508064633983,129.02020823799208
0.0561833381652832,-0.2729999730562751,0.3913802672147975,2.4773269230769146,2.8244997212360774,5.420206938471514,-118.50614530215425,46.67602776736176,158.5020024478415,127.36702101609671
0.11284065246582031,-0.24149997616516647,0.38108078649861865,2.384038461538453,2.9189997119094033,5.442618983781308,-115.20576036169297,51.35977963726026,155.97225088944407,126.1356182246068
0.1640472412109375,-0.28349997201997806,0.3604818250662609,2.2492884615384536,3.044999699473838,5.371270014058575,-115.44047645171035,57.97399863267952,153.33427971353112,129.18006084864575
0.21852397918701172,-0.32549996787478963,0.35018234435008205,2.1249038461538388,3.170999687038273,5.320585909667404,-115.45190777065662,64.04750791313552,150.98046399705692,132.02736942682515
0.2725660800933838,-0.3359999668384925,0.33988286363390313,2.093807692307685,3.2129996828930842,5.3106902719961795,-115.61511982653413,66.15598218813223,150.22143277354465,133.20461670595472
0.3294374942779541,-0.34649996580219533,0.33988286363390313,2.0523461538461465,3.254999678747896,5.3007287304257495,-115.30998764240704,68.0556541646124,149.45100642238023,133.8953520995609
0.3804950714111328,-0.34649996580219533,0.32958338291772427,2.000519230769224,3.328499671493816,5.312102319378569,-114.35386333657928,71.32415609743194,148.04761425045137,134.77366694948938
0.43503642082214355,-0.2729999730562751,0.29868494076918756,1.9590576923076857,3.3809996663123307,5.365742326332929,-110.4250953727569,74.73459435296013,145.9102532698792,133.33777139724498
0.4888031482696533,-0.24149997616516647,0.35018234435008205,1.8450384615384552,3.4859996559493593,5.43972048567273,-104.82985442346835,77.17590222937532,143.63944167482384,130.1745684201168
0.5429112911224365,-0.31499996891108667,0.3604818250662609,1.627365384615379,3.6854996362597143,5.358346877030268,-103.93892111238276,86.31583862402746,140.2921417980216,135.10634078153134
0.592888355255127,-0.35699996476589824,0.26778649862065096,1.5133461538461486,3.8639996186426635,5.288132306343565,-106.21057815628085,97.39751521812846,137.47846884306207,144.10746990686155
0.6476626396179199,-0.3044999699473838,0.31928390220154534,1.430423076923072,3.8744996176063666,5.3197066267836,-100.58737884391337,97.09482177090882,136.01216984887026,139.80423883921938
0.7011816501617432,-0.25199997512886935,0.40167974793097644,1.2956730769230724,3.800999624860446,5.246352474585626,-93.77777936032103,95.49782887790931,134.47933668761706,133.84359238360088
0.751150369644165,-0.24149997616516647,0.43257819007951304,1.1609230769230727,3.790499625896743,5.142500916734162,-90.16414721850624,97.82036455138547,132.66775130616224,133.03532299583603
0.8052589893341064,-0.2099999792740578,0.4531771515118708,1.0469038461538425,3.8954996155337724,5.185580633925428,-85.50411407038749,101.68748543108786,130.0588645080249,132.8581883673699
0.8569459915161133,-0.14699998549184046,0.46347663222804975,0.9639807692307659,3.9899996062070984,5.270457022174074,-80.26315508083962,104.65250675223244,127.48637310036,131.88753251561334
0.9636144638061523,-0.03149999689110867,0.4119792286471553,0.8084999999999972,4.1684995885900475,5.357478820346092,-72.78429867314239,113.78904527125161,122.60470563932931,135.0759081297777
1.0242929458618164,0.01049999896370289,0.4119792286471553,0.7255769230769206,4.126499592735236,5.274555743423015,-69.23248075136827,115.69413236384263,120.89670762621864,134.82680985030728
1.0886328220367432,0.08399999170962312,0.4119792286471553,0.6737499999999976,4.115999593771533,5.2857288141283085,-64.76967273217001,116.62322110866583,119.04671756247045,133.40197227774846
1.132723331451416,0.12599998756443467,0.3913802672147975,0.6530192307692285,4.126499592735236,5.296899078283697,-62.918405891545994,118.17599385900503,118.0314063797954,133.88163176663528
1.1872155666351318,0.13649998652813755,0.3913802672147975,0.6530192307692285,4.136999591698938,5.317899076211102,-62.448090971869156,118.18509616115287,117.85162660705527,133.66929722509877
1.2355482578277588,0.14699998549184046,0.3913802672147975,0.6426538461538439,4.1684995885900475,5.3495336874505295,-61.76836973133934,118.7772518944631,117.47602589753328,133.8781799505363
1.2919249534606934,0.14699998549184046,0.3913802672147975,0.6322884615384594,4.199999585481156,5.370668299726253,-61.561473632010916,119.4700959332153,117.26149542579051,134.39835883684162
1.3460209369659424,0.15749998445554333,0.3913802672147975,0.6219230769230748,4.199999585481156,5.370802914074572,-60.87360488862027,119.71690479889793,116.95240802694539,134.3046278680085
1.3909363746643066,0.15749998445554333,0.3913802672147975,0.6219230769230748,4.189499586517454,5.36030291511087,-60.86689311398953,119.60535822213379,116.97143903417243,134.2021623998465
1.4475700855255127,0.15749998445554333,0.3913802672147975,0.6219230769230748,4.189499586517454,5.36030291511087,-60.86689311398953,119.60535822213379,116.97143903417243,134.2021623998465
1.4979941844940186,0.15749998445554333,0.3913802672147975,0.6322884615384594,4.189499586517454,5.370668299726254,-61.090377558097586,119.25042105893203,117.12544951029098,133.98767537696702
1.548112154006958,0.14699998549184046,0.3913802672147975,0.6426538461538439,4.17899958755375,5.360033686414232,-61.77332905002138,118.89064480030675,117.45553463179102,133.98107927224248
1.5899834632873535,0.14699998549184046,0.38108078649861865,0.6530192307692285,4.17899958755375,5.360099590313437,-62.2377523395104,119.10429703850592,117.58924319348836,134.3851605993418
1.6469762325286865,0.13649998652813755,0.38108078649861865,0.6633846153846131,4.17899958755375,5.359964975965119,-62.92702894950457,118.85697993424277,117.89830475406026,134.4871467892035
